sqrt(2) = [ 1; (2) ]
sqrt(8903) = [ 94; (2, 1, 4, 3, 2, 1, 7, 1, 7, 3, 7, 1, 7, 1, 2, 3, 4, 1, 2, 188) ]
sqrt(8904) = [ 94; (2, 1, 3, 2, 1, 6, 1, 5, 1, 6, 1, 2, 3, 1, 2, 188) ]
sqrt(8905) = [ 94; (2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 188) ]
sqrt(8906) = [ 94; (2, 1, 2, 4, 4, 2, 1, 2, 188) ]
sqrt(8907) = [ 94; (2, 1, 1, 1, 7, 1, 1, 2, 1, 1, 3, 2, 3, 3, 1, 4, 2, 1, 93, 1, 2, 4, 1, 3, 3, 2, 3, 1, 1, 2, 1, 1, 7, 1, 1, 1, 2, 188) ]
sqrt(8908) = [ 94; (2, 1, 1, 1, 1, 1, 1, 5, 9, 1, 3, 8, 1, 2, 1, 2, 1, 4, 1, 1, 23, 20, 1, 13, 1, 1, 3, 5, 2, 3, 2, 1, 1, 8, 2, 1, 1, 46, 1, 1, 2, 8, 1, 1, 2, 3, 2, 5, 3, 1, 1, 13, 1, 20, 23, 1, 1, 4, 1, 2, 1, 2, 1, 8, 3, 1, 9, 5, 1, 1, 1, 1, 1, 1, 2, 188) ]
sqrt(8909) = [ 94; (2, 1, 1, 2, 1, 1, 2, 188) ]
sqrt(8910) = [ 94; (2, 1, 1, 4, 1, 20, 6, 2, 6, 20, 1, 4, 1, 1, 2, 188) ]
sqrt(8911) = [ 94; (2, 1, 1, 20, 2, 1, 1, 1, 5, 2, 6, 1, 1, 7, 62, 1, 3, 1, 62, 7, 1, 1, 6, 2, 5, 1, 1, 1, 2, 20, 1, 1, 2, 188) ]
sqrt(8912) = [ 94; (2, 2, 11, 2, 2, 188) ]
sqrt(8913) = [ 94; (2, 2, 4, 4, 1, 7, 17, 26, 1, 10, 1, 5, 5, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 3, 3, 1, 1, 1, 8, 2, 1, 5, 23, 2, 2, 1, 7, 2, 62, 2, 7, 1, 2, 2, 23, 5, 1, 2, 8, 1, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 5, 5, 1, 10, 1, 26, 17, 7, 1, 4, 4, 2, 2, 188) ]
sqrt(8914) = [ 94; (2, 2, 2, 2, 5, 1, 7, 2, 1, 2, 1, 3, 20, 1, 2, 2, 12, 6, 4, 1, 2, 10, 7, 2, 5, 3, 1, 11, 1, 4, 1, 4, 94, 4, 1, 4, 1, 11, 1, 3, 5, 2, 7, 10, 2, 1, 4, 6, 12, 2, 2, 1, 20, 3, 1, 2, 1, 2, 7, 1, 5, 2, 2, 2, 2, 188) ]
sqrt(8915) = [ 94; (2, 2, 1, 1, 2, 13, 9, 1, 6, 2, 1, 3, 5, 1, 4, 1, 1, 4, 16, 1, 17, 1, 16, 4, 1, 1, 4, 1, 5, 3, 1, 2, 6, 1, 9, 13, 2, 1, 1, 2, 2, 188) ]
sqrt(8916) = [ 94; (2, 2, 1, 4, 2, 1, 1, 3, 2, 1, 11, 1, 8, 1, 1, 11, 3, 1, 1, 1, 1, 1, 1, 6, 1, 14, 1, 6, 1, 1, 1, 1, 1, 1, 3, 11, 1, 1, 8, 1, 11, 1, 2, 3, 1, 1, 2, 4, 1, 2, 2, 188) ]
sqrt(8917) = [ 94; (2, 3, 15, 2, 4, 1, 3, 4, 1, 62, 6, 1, 46, 2, 1, 3, 1, 14, 1, 20, 20, 1, 14, 1, 3, 1, 2, 46, 1, 6, 62, 1, 4, 3, 1, 4, 2, 15, 3, 2, 188) ]
sqrt(8918) = [ 94; (2, 3, 2, 1, 4, 3, 1, 1, 1, 3, 1, 3, 14, 3, 1, 3, 1, 1, 1, 3, 4, 1, 2, 3, 2, 188) ]
sqrt(8919) = [ 94; (2, 3, 1, 2, 3, 7, 3, 1, 7, 2, 4, 1, 12, 1, 2, 14, 5, 3, 16, 1, 6, 18, 1, 2, 1, 9, 1, 2, 1, 18, 6, 1, 16, 3, 5, 14, 2, 1, 12, 1, 4, 2, 7, 1, 3, 7, 3, 2, 1, 3, 2, 188) ]
sqrt(8920) = [ 94; (2, 4, 9, 4, 2, 188) ]
sqrt(8921) = [ 94; (2, 4, 1, 1, 1, 1, 5, 3, 2, 1, 1, 2, 4, 2, 1, 37, 11, 11, 1, 2, 1, 1, 13, 1, 22, 1, 2, 7, 4, 1, 1, 2, 2, 1, 1, 16, 1, 1, 2, 2, 1, 1, 4, 7, 2, 1, 22, 1, 13, 1, 1, 2, 1, 11, 11, 37, 1, 2, 4, 2, 1, 1, 2, 3, 5, 1, 1, 1, 1, 4, 2, 188) ]
sqrt(8922) = [ 94; (2, 5, 4, 2, 2, 1, 6, 1, 1, 3, 1, 26, 4, 1, 4, 5, 1, 7, 1, 2, 1, 30, 1, 2, 1, 7, 1, 5, 4, 1, 4, 26, 1, 3, 1, 1, 6, 1, 2, 2, 4, 5, 2, 188) ]
sqrt(8923) = [ 94; (2, 6, 62, 1, 4, 1, 1, 2, 1, 20, 3, 1, 1, 1, 9, 1, 6, 10, 1, 30, 1, 1, 2, 1, 2, 1, 93, 1, 2, 1, 2, 1, 1, 30, 1, 10, 6, 1, 9, 1, 1, 1, 3, 20, 1, 2, 1, 1, 4, 1, 62, 6, 2, 188) ]
sqrt(8924) = [ 94; (2, 7, 17, 23, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 46, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 23, 17, 7, 2, 188) ]
sqrt(8925) = [ 94; (2, 8, 2, 188) ]
sqrt(8926) = [ 94; (2, 10, 1, 1, 1, 1, 1, 1, 5, 1, 2, 6, 1, 1, 1, 5, 13, 3, 7, 1, 8, 8, 2, 10, 37, 1, 2, 3, 1, 1, 12, 31, 2, 2, 2, 1, 2, 3, 2, 2, 3, 1, 3, 1, 2, 1, 1, 1, 4, 2, 8, 1, 1, 4, 1, 6, 1, 2, 1, 4, 1, 62, 6, 3, 1, 1, 5, 1, 18, 20, 1, 16, 4, 2, 3, 1, 1, 1, 26, 2, 1, 4, 1, 2, 1, 2, 12, 4, 3, 5, 4, 94, 4, 5, 3, 4, 12, 2, 1, 2, 1, 4, 1, 2, 26, 1, 1, 1, 3, 2, 4, 16, 1, 20, 18, 1, 5, 1, 1, 3, 6, 62, 1, 4, 1, 2, 1, 6, 1, 4, 1, 1, 8, 2, 4, 1, 1, 1, 2, 1, 3, 1, 3, 2, 2, 3, 2, 1, 2, 2, 2, 31, 12, 1, 1, 3, 2, 1, 37, 10, 2, 8, 8, 1, 7, 3, 13, 5, 1, 1, 1, 6, 2, 1, 5, 1, 1, 1, 1, 1, 1, 10, 2, 188) ]
sqrt(8927) = [ 94; (2, 14, 26, 1, 12, 1, 1, 6, 1, 2, 1, 93, 1, 2, 1, 6, 1, 1, 12, 1, 26, 14, 2, 188) ]
sqrt(8928) = [ 94; (2, 20, 2, 188) ]
sqrt(8929) = [ 94; (2, 37, 3, 2, 1, 6, 1, 6, 7, 1, 2, 1, 2, 4, 1, 2, 1, 8, 3, 1, 4, 1, 1, 1, 3, 1, 26, 4, 1, 2, 5, 23, 2, 3, 2, 4, 3, 2, 12, 6, 62, 1, 4, 1, 11, 1, 3, 3, 1, 1, 1, 1, 20, 2, 1, 1, 2, 1, 3, 2, 10, 1, 2, 11, 2, 7, 2, 1, 1, 8, 2, 2, 8, 1, 1, 2, 7, 2, 11, 2, 1, 10, 2, 3, 1, 2, 1, 1, 2, 20, 1, 1, 1, 1, 3, 3, 1, 11, 1, 4, 1, 62, 6, 12, 2, 3, 4, 2, 3, 2, 23, 5, 2, 1, 4, 26, 1, 3, 1, 1, 1, 4, 1, 3, 8, 1, 2, 1, 4, 2, 1, 2, 1, 7, 6, 1, 6, 1, 2, 3, 37, 2, 188) ]
sqrt(8930) = [ 94; (2, 188) ]
sqrt(8931) = [ 94; (1, 1, 62, 1, 1, 188) ]
sqrt(8932) = [ 94; (1, 1, 26, 1, 1, 188) ]
sqrt(8933) = [ 94; (1, 1, 16, 1, 2, 6, 2, 2, 3, 6, 4, 2, 4, 1, 1, 1, 26, 2, 1, 3, 1, 1, 1, 2, 46, 1, 7, 4, 5, 1, 5, 1, 10, 3, 1, 3, 3, 1, 3, 10, 1, 5, 1, 5, 4, 7, 1, 46, 2, 1, 1, 1, 3, 1, 2, 26, 1, 1, 1, 4, 2, 4, 6, 3, 2, 2, 6, 2, 1, 16, 1, 1, 188) ]
sqrt(8934) = [ 94; (1, 1, 12, 9, 1, 6, 1, 1, 1, 18, 3, 1, 30, 1, 3, 18, 1, 1, 1, 6, 1, 9, 12, 1, 1, 188) ]
sqrt(8935) = [ 94; (1, 1, 9, 2, 4, 2, 1, 2, 5, 1, 2, 1, 1, 1, 11, 1, 30, 1, 1, 2, 2, 1, 4, 7, 17, 20, 1, 17, 1, 20, 17, 7, 4, 1, 2, 2, 1, 1, 30, 1, 11, 1, 1, 1, 2, 1, 5, 2, 1, 2, 4, 2, 9, 1, 1, 188) ]
sqrt(8936) = [ 94; (1, 1, 7, 1, 2, 1, 1, 4, 26, 1, 3, 1, 3, 4, 2, 6, 3, 3, 1, 1, 5, 1, 1, 7, 47, 7, 1, 1, 5, 1, 1, 3, 3, 6, 2, 4, 3, 1, 3, 1, 26, 4, 1, 1, 2, 1, 7, 1, 1, 188) ]
sqrt(8937) = [ 94; (1, 1, 6, 1, 1, 188) ]
sqrt(8938) = [ 94; (1, 1, 5, 1, 1, 2, 20, 1, 1, 1, 1, 1, 1, 20, 2, 1, 1, 5, 1, 1, 188) ]
sqrt(8939) = [ 94; (1, 1, 4, 1, 9, 7, 2, 6, 18, 1, 3, 13, 3, 1, 18, 6, 2, 7, 9, 1, 4, 1, 1, 188) ]
sqrt(8940) = [ 94; (1, 1, 4, 2, 1, 7, 5, 3, 1, 1, 1, 46, 1, 1, 1, 3, 5, 7, 1, 2, 4, 1, 1, 188) ]
sqrt(8941) = [ 94; (1, 1, 3, 1, 8, 1, 2, 9, 1, 1, 1, 1, 4, 4, 12, 2, 1, 2, 3, 15, 2, 6, 3, 1, 2, 2, 1, 1, 4, 1, 4, 2, 3, 5, 2, 3, 1, 2, 1, 13, 1, 4, 3, 8, 1, 2, 3, 1, 5, 1, 62, 5, 2, 1, 1, 2, 1, 1, 3, 1, 2, 1, 1, 6, 2, 2, 1, 37, 8, 1, 46, 2, 1, 1, 3, 9, 5, 1, 1, 1, 1, 1, 6, 1, 16, 3, 10, 1, 3, 1, 14, 1, 26, 12, 1, 1, 3, 20, 1, 2, 1, 2, 6, 6, 2, 1, 2, 1, 20, 3, 1, 1, 12, 26, 1, 14, 1, 3, 1, 10, 3, 16, 1, 6, 1, 1, 1, 1, 1, 5, 9, 3, 1, 1, 2, 46, 1, 8, 37, 1, 2, 2, 6, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 2, 5, 62, 1, 5, 1, 3, 2, 1, 8, 3, 4, 1, 13, 1, 2, 1, 3, 2, 5, 3, 2, 4, 1, 4, 1, 1, 2, 2, 1, 3, 6, 2, 15, 3, 2, 1, 2, 12, 4, 4, 1, 1, 1, 1, 9, 2, 1, 8, 1, 3, 1, 1, 188) ]
sqrt(8942) = [ 94; (1, 1, 3, 1, 1, 10, 1, 1, 3, 1, 1, 188) ]
sqrt(8943) = [ 94; (1, 1, 3, 4, 1, 4, 1, 3, 31, 3, 1, 4, 1, 4, 3, 1, 1, 188) ]
sqrt(8944) = [ 94; (1, 1, 2, 1, 15, 20, 1, 20, 15, 1, 2, 1, 1, 188) ]
sqrt(8945) = [ 94; (1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 1, 188) ]
sqrt(8946) = [ 94; (1, 1, 2, 1, 1, 188) ]
sqrt(8947) = [ 94; (1, 1, 2, 3, 9, 1, 1, 1, 26, 2, 1, 2, 2, 1, 1, 1, 2, 4, 4, 3, 1, 1, 1, 1, 1, 20, 2, 1, 1, 30, 1, 13, 1, 1, 2, 2, 16, 1, 3, 1, 1, 3, 1, 1, 3, 1, 16, 2, 2, 1, 1, 13, 1, 30, 1, 1, 2, 20, 1, 1, 1, 1, 1, 3, 4, 4, 2, 1, 1, 1, 2, 2, 1, 2, 26, 1, 1, 1, 9, 3, 2, 1, 1, 188) ]
sqrt(8948) = [ 94; (1, 1, 2, 6, 8, 14, 2, 3, 11, 1, 1, 6, 4, 4, 16, 1, 26, 11, 1, 3, 1, 2, 3, 3, 1, 1, 3, 2, 5, 1, 1, 1, 46, 1, 1, 1, 5, 2, 3, 1, 1, 3, 3, 2, 1, 3, 1, 11, 26, 1, 16, 4, 4, 6, 1, 1, 11, 3, 2, 14, 8, 6, 2, 1, 1, 188) ]
sqrt(8949) = [ 94; (1, 1, 2, 46, 1, 8, 1, 46, 2, 1, 1, 188) ]
sqrt(8950) = [ 94; (1, 1, 1, 1, 8, 2, 2, 3, 1, 2, 2, 3, 3, 2, 31, 9, 1, 12, 1, 1, 1, 1, 2, 7, 5, 2, 3, 20, 1, 2, 1, 3, 8, 1, 2, 1, 8, 3, 1, 2, 1, 20, 3, 2, 5, 7, 2, 1, 1, 1, 1, 12, 1, 9, 31, 2, 3, 3, 2, 2, 1, 3, 2, 2, 8, 1, 1, 1, 1, 188) ]
sqrt(8951) = [ 94; (1, 1, 1, 1, 3, 1, 1, 18, 2, 1, 3, 2, 1, 4, 1, 6, 1, 2, 1, 10, 2, 1, 1, 2, 1, 37, 8, 4, 1, 93, 1, 4, 8, 37, 1, 2, 1, 1, 2, 10, 1, 2, 1, 6, 1, 4, 1, 2, 3, 1, 2, 18, 1, 1, 3, 1, 1, 1, 1, 188) ]
sqrt(8952) = [ 94; (1, 1, 1, 1, 2, 15, 2, 1, 1, 1, 1, 188) ]
sqrt(8953) = [ 94; (1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 1, 2, 1, 4, 2, 1, 1, 7, 1, 1, 1, 2, 1, 11, 9, 1, 6, 1, 62, 4, 1, 5, 8, 1, 5, 4, 1, 2, 6, 1, 1, 1, 7, 4, 3, 1, 2, 2, 1, 22, 1, 20, 14, 1, 1, 26, 1, 1, 14, 20, 1, 22, 1, 2, 2, 1, 3, 4, 7, 1, 1, 1, 6, 2, 1, 4, 5, 1, 8, 5, 1, 4, 62, 1, 6, 1, 9, 11, 1, 2, 1, 1, 1, 7, 1, 1, 2, 4, 1, 2, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 188) ]
sqrt(8954) = [ 94; (1, 1, 1, 2, 26, 1, 1, 1, 18, 3, 1, 4, 4, 2, 2, 6, 1, 6, 1, 2, 2, 1, 1, 3, 2, 3, 1, 1, 2, 2, 1, 6, 1, 6, 2, 2, 4, 4, 1, 3, 18, 1, 1, 1, 26, 2, 1, 1, 1, 188) ]
sqrt(8955) = [ 94; (1, 1, 1, 2, 2, 3, 2, 3, 1, 3, 2, 1, 16, 1, 1, 20, 1, 1, 16, 1, 2, 3, 1, 3, 2, 3, 2, 2, 1, 1, 1, 188) ]
sqrt(8956) = [ 94; (1, 1, 1, 2, 1, 37, 7, 1, 6, 7, 2, 2, 1, 5, 1, 4, 2, 2, 5, 1, 2, 3, 4, 1, 1, 4, 15, 1, 1, 4, 4, 1, 1, 1, 2, 1, 1, 23, 12, 1, 1, 2, 1, 4, 62, 1, 7, 4, 12, 2, 1, 1, 1, 20, 2, 2, 9, 1, 1, 3, 1, 2, 7, 1, 1, 8, 1, 13, 1, 1, 1, 46, 1, 1, 1, 13, 1, 8, 1, 1, 7, 2, 1, 3, 1, 1, 9, 2, 2, 20, 1, 1, 1, 2, 12, 4, 7, 1, 62, 4, 1, 2, 1, 1, 12, 23, 1, 1, 2, 1, 1, 1, 4, 4, 1, 1, 15, 4, 1, 1, 4, 3, 2, 1, 5, 2, 2, 4, 1, 5, 1, 2, 2, 7, 6, 1, 7, 37, 1, 2, 1, 1, 1, 188) ]
sqrt(8957) = [ 94; (1, 1, 1, 3, 1, 2, 1, 3, 1, 1, 1, 188) ]
sqrt(8958) = [ 94; (1, 1, 1, 4, 1, 9, 7, 5, 1, 1, 2, 8, 4, 1, 2, 1, 3, 3, 2, 3, 1, 30, 1, 3, 2, 3, 3, 1, 2, 1, 4, 8, 2, 1, 1, 5, 7, 9, 1, 4, 1, 1, 1, 188) ]
sqrt(8959) = [ 94; (1, 1, 1, 6, 1, 9, 1, 1, 1, 5, 12, 2, 3, 1, 11, 1, 5, 2, 1, 1, 2, 1, 5, 1, 1, 2, 3, 20, 1, 2, 1, 4, 1, 93, 1, 4, 1, 2, 1, 20, 3, 2, 1, 1, 5, 1, 2, 1, 1, 2, 5, 1, 11, 1, 3, 2, 12, 5, 1, 1, 1, 9, 1, 6, 1, 1, 1, 188) ]
sqrt(8960) = [ 94; (1, 1, 1, 11, 6, 47, 6, 11, 1, 1, 1, 188) ]
sqrt(8961) = [ 94; (1, 1, 1, 26, 2, 1, 1, 1, 2, 3, 2, 14, 7, 1, 4, 1, 1, 7, 37, 1, 2, 1, 2, 1, 4, 1, 2, 11, 2, 11, 2, 1, 4, 1, 2, 1, 2, 1, 37, 7, 1, 1, 4, 1, 7, 14, 2, 3, 2, 1, 1, 1, 2, 26, 1, 1, 1, 188) ]
sqrt(8962) = [ 94; (1, 2, 94, 2, 1, 188) ]
sqrt(8963) = [ 94; (1, 2, 16, 1, 7, 3, 2, 4, 5, 2, 1, 10, 2, 4, 1, 1, 1, 3, 2, 8, 5, 1, 93, 1, 5, 8, 2, 3, 1, 1, 1, 4, 2, 10, 1, 2, 5, 4, 2, 3, 7, 1, 16, 2, 1, 188) ]
sqrt(8964) = [ 94; (1, 2, 9, 7, 2, 7, 9, 2, 1, 188) ]
sqrt(8965) = [ 94; (1, 2, 6, 5, 9, 1, 3, 2, 2, 20, 1, 1, 1, 2, 2, 46, 1, 11, 1, 1, 1, 4, 1, 1, 1, 1, 16, 1, 1, 1, 1, 4, 1, 1, 1, 11, 1, 46, 2, 2, 1, 1, 1, 20, 2, 2, 3, 1, 9, 5, 6, 2, 1, 188) ]
sqrt(8966) = [ 94; (1, 2, 4, 1, 1, 1, 5, 1, 7, 1, 3, 7, 37, 1, 2, 1, 4, 2, 1, 2, 2, 1, 2, 1, 2, 1, 5, 2, 1, 1, 1, 6, 1, 18, 14, 1, 1, 16, 1, 2, 3, 9, 1, 2, 94, 2, 1, 9, 3, 2, 1, 16, 1, 1, 14, 18, 1, 6, 1, 1, 1, 2, 5, 1, 2, 1, 2, 1, 2, 2, 1, 2, 4, 1, 2, 1, 37, 7, 3, 1, 7, 1, 5, 1, 1, 1, 4, 2, 1, 188) ]
sqrt(8967) = [ 94; (1, 2, 3, 1, 2, 3, 1, 1, 62, 1, 1, 3, 2, 1, 3, 2, 1, 188) ]
sqrt(8968) = [ 94; (1, 2, 3, 20, 1, 2, 1, 10, 2, 1, 1, 6, 5, 1, 22, 1, 5, 6, 1, 1, 2, 10, 1, 2, 1, 20, 3, 2, 1, 188) ]
sqrt(8969) = [ 94; (1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 4, 1, 3, 1, 3, 1, 16, 2, 2, 1, 22, 1, 26, 9, 1, 13, 1, 2, 37, 1, 1, 5, 1, 1, 1, 1, 11, 4, 3, 7, 3, 1, 2, 1, 2, 5, 1, 1, 4, 5, 5, 4, 1, 1, 5, 2, 1, 2, 1, 3, 7, 3, 4, 11, 1, 1, 1, 1, 5, 1, 1, 37, 2, 1, 13, 1, 9, 26, 1, 22, 1, 2, 2, 16, 1, 3, 1, 3, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 188) ]
sqrt(8970) = [ 94; (1, 2, 2, 4, 2, 2, 1, 188) ]
sqrt(8971) = [ 94; (1, 2, 1, 1, 18, 2, 1, 2, 4, 7, 2, 1, 6, 1, 1, 1, 1, 8, 2, 2, 2, 3, 1, 3, 1, 5, 1, 1, 9, 1, 62, 4, 5, 6, 8, 13, 2, 2, 4, 2, 4, 1, 26, 4, 12, 2, 1, 1, 1, 1, 1, 30, 1, 20, 12, 1, 1, 2, 1, 1, 2, 2, 2, 1, 3, 1, 4, 14, 2, 1, 3, 8, 1, 2, 1, 37, 6, 1, 93, 1, 6, 37, 1, 2, 1, 8, 3, 1, 2, 14, 4, 1, 3, 1, 2, 2, 2, 1, 1, 2, 1, 1, 12, 20, 1, 30, 1, 1, 1, 1, 1, 2, 12, 4, 26, 1, 4, 2, 4, 2, 2, 13, 8, 6, 5, 4, 62, 1, 9, 1, 1, 5, 1, 3, 1, 3, 2, 2, 2, 8, 1, 1, 1, 1, 6, 1, 2, 7, 4, 2, 1, 2, 18, 1, 1, 2, 1, 188) ]
sqrt(8972) = [ 94; (1, 2, 1, 1, 2, 1, 1, 1, 3, 2, 1, 1, 23, 11, 9, 1, 7, 2, 1, 46, 1, 2, 7, 1, 9, 11, 23, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 2, 1, 188) ]
sqrt(8973) = [ 94; (1, 2, 1, 1, 1, 5, 2, 9, 1, 1, 20, 1, 1, 9, 2, 5, 1, 1, 1, 2, 1, 188) ]
sqrt(8974) = [ 94; (1, 2, 1, 2, 1, 1, 2, 1, 6, 1, 1, 3, 3, 1, 12, 1, 3, 3, 1, 1, 6, 1, 2, 1, 1, 2, 1, 2, 1, 188) ]
sqrt(8975) = [ 94; (1, 2, 1, 3, 1, 6, 1, 3, 1, 2, 1, 188) ]
sqrt(8976) = [ 94; (1, 2, 1, 6, 1, 4, 1, 6, 1, 2, 1, 188) ]
sqrt(8977) = [ 94; (1, 2, 1, 20, 3, 3, 1, 1, 1, 1, 1, 2, 2, 1, 16, 1, 1, 10, 1, 1, 1, 2, 1, 1, 4, 23, 2, 7, 2, 2, 6, 7, 1, 2, 1, 5, 5, 1, 1, 3, 5, 1, 4, 1, 9, 6, 1, 10, 1, 62, 4, 62, 1, 10, 1, 6, 9, 1, 4, 1, 5, 3, 1, 1, 5, 5, 1, 2, 1, 7, 6, 2, 2, 7, 2, 23, 4, 1, 1, 2, 1, 1, 1, 10, 1, 1, 16, 1, 2, 2, 1, 1, 1, 1, 1, 3, 3, 20, 1, 2, 1, 188) ]
sqrt(8978) = [ 94; (1, 3, 26, 1, 4, 1, 1, 1, 1, 3, 3, 1, 5, 2, 1, 7, 1, 1, 4, 10, 1, 12, 1, 1, 1, 2, 94, 2, 1, 1, 1, 12, 1, 10, 4, 1, 1, 7, 1, 2, 5, 1, 3, 3, 1, 1, 1, 1, 4, 1, 26, 3, 1, 188) ]
sqrt(8979) = [ 94; (1, 3, 7, 1, 93, 1, 7, 3, 1, 188) ]
sqrt(8980) = [ 94; (1, 3, 4, 1, 1, 1, 1, 3, 1, 2, 3, 11, 1, 1, 4, 1, 2, 1, 8, 1, 2, 1, 4, 1, 1, 11, 3, 2, 1, 3, 1, 1, 1, 1, 4, 3, 1, 188) ]
sqrt(8981) = [ 94; (1, 3, 3, 5, 9, 3, 2, 7, 6, 1, 1, 1, 2, 1, 3, 1, 8, 1, 2, 4, 1, 3, 2, 46, 1, 16, 3, 1, 37, 6, 1, 1, 26, 1, 1, 6, 37, 1, 3, 16, 1, 46, 2, 3, 1, 4, 2, 1, 8, 1, 3, 1, 2, 1, 1, 1, 6, 7, 2, 3, 9, 5, 3, 3, 1, 188) ]
sqrt(8982) = [ 94; (1, 3, 2, 2, 2, 1, 1, 2, 94, 2, 1, 1, 2, 2, 2, 3, 1, 188) ]
sqrt(8983) = [ 94; (1, 3, 1, 1, 12, 1, 62, 3, 1, 5, 1, 3, 1, 1, 1, 20, 2, 2, 1, 1, 1, 1, 1, 2, 7, 1, 6, 7, 6, 1, 7, 2, 1, 1, 1, 1, 1, 2, 2, 20, 1, 1, 1, 3, 1, 5, 1, 3, 62, 1, 12, 1, 1, 3, 1, 188) ]
sqrt(8984) = [ 94; (1, 3, 1, 1, 1, 2, 3, 1, 1, 1, 8, 1, 5, 4, 1, 1, 3, 10, 1, 6, 1, 2, 23, 2, 1, 6, 1, 10, 3, 1, 1, 4, 5, 1, 8, 1, 1, 1, 3, 2, 1, 1, 1, 3, 1, 188) ]
sqrt(8985) = [ 94; (1, 3, 1, 2, 1, 11, 8, 1, 16, 2, 1, 9, 3, 3, 1, 1, 4, 1, 5, 1, 2, 1, 1, 7, 3, 12, 3, 7, 1, 1, 2, 1, 5, 1, 4, 1, 1, 3, 3, 9, 1, 2, 16, 1, 8, 11, 1, 2, 1, 3, 1, 188) ]
sqrt(8986) = [ 94; (1, 3, 1, 6, 2, 31, 7, 1, 1, 4, 3, 20, 1, 3, 12, 2, 1, 1, 2, 3, 7, 1, 18, 12, 1, 1, 2, 2, 1, 1, 12, 18, 1, 7, 3, 2, 1, 1, 2, 12, 3, 1, 20, 3, 4, 1, 1, 7, 31, 2, 6, 1, 3, 1, 188) ]
sqrt(8987) = [ 94; (1, 3, 1, 188) ]
sqrt(8988) = [ 94; (1, 4, 7, 1, 2, 2, 1, 46, 1, 2, 2, 1, 7, 4, 1, 188) ]
sqrt(8989) = [ 94; (1, 4, 3, 1, 2, 37, 1, 1, 3, 1, 1, 8, 2, 7, 8, 1, 8, 1, 1, 2, 3, 1, 4, 2, 46, 1, 20, 11, 9, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 9, 11, 20, 1, 46, 2, 4, 1, 3, 2, 1, 1, 8, 1, 8, 7, 2, 8, 1, 1, 3, 1, 1, 37, 2, 1, 3, 4, 1, 188) ]
sqrt(8990) = [ 94; (1, 4, 2, 2, 1, 3, 6, 3, 1, 2, 2, 4, 1, 188) ]
sqrt(8991) = [ 94; (1, 4, 1, 1, 2, 1, 1, 18, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 6, 1, 20, 4, 1, 16, 2, 3, 1, 1, 4, 1, 1, 3, 2, 16, 1, 4, 20, 1, 6, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 18, 1, 1, 2, 1, 1, 4, 1, 188) ]
sqrt(8992) = [ 94; (1, 4, 1, 3, 26, 1, 4, 1, 26, 3, 1, 4, 1, 188) ]
sqrt(8993) = [ 94; (1, 4, 1, 13, 1, 3, 9, 1, 2, 1, 2, 11, 2, 23, 4, 2, 1, 2, 1, 1, 10, 1, 1, 2, 1, 2, 4, 23, 2, 11, 2, 1, 2, 1, 9, 3, 1, 13, 1, 4, 1, 188) ]
sqrt(8994) = [ 94; (1, 5, 8, 12, 1, 1, 10, 1, 1, 1, 3, 7, 3, 5, 3, 1, 5, 1, 1, 3, 1, 1, 2, 2, 94, 2, 2, 1, 1, 3, 1, 1, 5, 1, 3, 5, 3, 7, 3, 1, 1, 1, 10, 1, 1, 12, 8, 5, 1, 188) ]
sqrt(8995) = [ 94; (1, 5, 3, 20, 1, 3, 5, 1, 6, 2, 5, 8, 1, 5, 1, 1, 1, 5, 1, 8, 5, 2, 6, 1, 5, 3, 1, 20, 3, 5, 1, 188) ]
sqrt(8996) = [ 94; (1, 5, 1, 1, 4, 1, 7, 2, 2, 1, 46, 1, 2, 2, 7, 1, 4, 1, 1, 5, 1, 188) ]
sqrt(8997) = [ 94; (1, 5, 1, 3, 1, 1, 4, 14, 2, 1, 2, 8, 1, 1, 1, 15, 6, 2, 10, 1, 2, 3, 3, 3, 1, 1, 3, 6, 2, 46, 1, 26, 8, 4, 1, 2, 1, 5, 2, 1, 1, 1, 1, 1, 1, 62, 1, 1, 1, 1, 1, 1, 2, 5, 1, 2, 1, 4, 8, 26, 1, 46, 2, 6, 3, 1, 1, 3, 3, 3, 2, 1, 10, 2, 6, 15, 1, 1, 1, 8, 2, 1, 2, 14, 4, 1, 1, 3, 1, 5, 1, 188) ]
